time,Dynamic_hardening_term,Dynamic_hardening_term_avg,Energy,Ep_eff,F_norm,Phi,Prager_term,Prager_term_avg,Static_hardening_term,Static_hardening_term_avg,backstress01,backstress02,backstress03,backstress04,backstress05,backstress06,backstress07,backstress08,backstress09,backstress10,backstress11,backstress12,backstress_avg,entropy_generation_rate,gamma_dot_average,phi_1,phi_2,slip_resistance_avg,ssd,strain_xx,strain_yy,strain_zz,stress_xx,stress_yy,stress_zz,vonmises,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,,-60,50
0.0165,-1.6866867068946E-294,-5.622289022982E-295,7.3179792513764E-173,0,1.7320544275189,0,2.6349274391222E-166,6.3131962797057E-146,2.9764820842272E-168,-7.1315495606263E-148,-2.0841332378791E-168,2.0841332384752E-168,1.498053647952E-147,1.498053647952E-147,-5.0124116227012E-158,-5.0124116218124E-158,2.0841332378791E-168,-2.0841332384752E-168,5.0124116227012E-158,5.0124116218124E-158,1.498053647952E-147,1.498053647952E-147,4.99351215984E-148,5.3221901508347E-154,6.3131962797057E-152,-1.7586659622327E-20,0,360.31469625632,100000000,-8.2518341594309E-42,-1.0230296879015E-05,1.6499863875603E-05,0.68029634769621,7.0843988242227E-10,51.7776071802764,1.5535091676386,,-58.2223928197236,51.7776071802764
0.1165,-1.3420872015773E-184,-4.4736240052576E-185,4.072553087875E-117,1.6445052071747E-112,1.7320763626565,0,2.0768112989979E-111,5.0261248545986E-91,2.9451885080003E-113,-7.1276478795472E-93,-2.0622214713328E-113,2.062221471322E-113,1.4972340606345E-92,1.4972340606345E-92,-5.0408884905097E-103,-5.0408884905261E-103,2.0622214713328E-113,-2.062221471322E-113,5.0408884905098E-103,5.0408884905261E-103,1.4972340606345E-92,1.4972340606345E-92,4.9937743484315E-93,2.9923226761161E-98,5.0261248545986E-97,-9.133031731722E-20,0,360.31469625632,100000000,-1.0345318543581E-40,-7.2248969130949E-05,0.000116493214388,4.8033622753103,1.4856211759131E-08,62.553645257296,10.971170953436,,-47.446354742704,62.553645257296
0.2165,-8.4690773491154E-156,-2.8230257830385E-156,1.8104570945453E-102,9.4792403229623E-99,1.7320982908083,0,4.9679968018736E-97,1.2143946123294E-76,7.6161343904589E-99,-1.8615514418722E-78,-5.3328185363901E-99,5.3328185363396E-99,3.9103758652167E-78,3.9103758652167E-78,-1.3246619455065E-88,-1.3246619455143E-88,5.3328185363902E-99,-5.3328185363395E-99,1.3246619455065E-88,1.3246619455143E-88,3.9103758652167E-78,3.9103758652167E-78,1.3124861891402E-78,1.3438755120093E-83,1.2143946123294E-82,2.7551125497675E-20,0,360.31469625632,100000000,-5.3174264183204E-40,-0.000134296959687,0.00021647656723,8.9265276798626,2.7579437382773E-08,73.334253393849,20.393048280452,,-36.665746606151,73.334253393849
0.3165,-1.3808544149444E-138,-4.6028480498147E-139,9.9653626062946E-94,4.8658129039171E-90,1.7321202119799,0,1.8705318564313E-88,4.6183355981576E-68,3.2332409659475E-90,-7.9810710833743E-70,-2.2639158491123E-90,2.2639158491291E-90,1.676504180385E-69,1.676504180385E-69,-5.7140529483185E-80,-5.7140529482921E-80,2.2639158491123E-90,-2.2639158491291E-90,5.7140529483185E-80,5.7140529482922E-80,1.676504180385E-69,1.676504180385E-69,5.6771434182248E-70,7.472959009961E-75,4.6183355981576E-74,-3.8833772592728E-20,0,360.31469625632,100000000,-1.1590433365224E-39,-0.000196374269211,0.0003164499244,13.049793019449,4.0351614901008E-08,84.119433588568,29.819143147987,,-25.880566411432,84.119433588568
0.4165,-2.9248944430565E-126,-9.7496481435217E-127,1.7762605853377E-87,2.2842916608242E-84,1.7321421261624,0,2.5335654090618E-82,6.3182080358404E-62,4.9570061382924E-84,-1.2357057007613E-63,-3.4708965025881E-84,3.4708965025815E-84,2.5957239967046E-63,2.5957239967046E-63,-8.9011078438139E-74,-8.9011078438243E-74,3.4708965025881E-84,-3.4708965025815E-84,8.9011078438139E-74,8.9011078438244E-74,2.5957239967046E-63,2.5957239967046E-63,8.8620288685961E-64,1.3456571445039E-68,6.3182080358404E-68,-7.0697181568678E-19,0,360.31469625632,100000000,-2.8281384161348E-39,-0.000258480923783,0.000416413287897,17.173158751667,5.312883619231E-08,94.909187841285,39.249457557635,,-15.090812158715,94.909187841285
0.5165,-1.1963839132447E-116,-3.9879463774803E-117,1.3157595534999E-82,2.0375852483493E-76,1.7321640333466,0,1.5133569237422E-77,3.8119233194762E-57,3.327835546905E-79,-8.3777073095745E-59,-2.3301509900625E-79,2.3301509900735E-79,1.7598216053724E-58,1.7598216053746E-58,-6.0715049897277E-69,-6.0715049897217E-69,2.3301509900672E-79,-2.3301509900688E-79,6.0715049897319E-69,6.0715049897174E-69,1.7598216053738E-58,1.7598216053732E-58,6.0496923159334E-59,1.0070060507497E-63,3.8119233194762E-63,7.2566286528546E-16,0,360.31469625632,100000000,-1.4691077709133E-34,-0.000320616949524,0.000516366659719,21.296625334581,6.5921387310742E-08,105.703518153989,48.683993512794,,-4.296481846011,105.703518153989
0.6165,-9.0953141642824E-109,-3.031771388092E-109,1.284923949873E-78,8.0789430698603E-73,1.7321859335236,0,1.2381526832449E-73,3.1500507028587E-53,3.0315896975248E-75,-7.7072409237096E-55,-2.1227195982472E-75,2.1227195982515E-75,1.6189834037125E-54,1.6189834037128E-54,-5.6196577243624E-65,-5.6196577243571E-65,2.1227195982483E-75,-2.1227195982505E-75,5.6196577243624E-65,5.6196577243571E-65,1.6189834037128E-54,1.6189834037125E-54,5.5973442004975E-55,9.9348275986006E-60,3.1500507028587E-59,-4.8291392674386E-17,0,360.31469625632,100000000,-4.1236658332121E-34,-0.000382782372587,0.000616310041863,25.420193226649,7.8727477367757E-08,116.502426530702,58.122753018618,,6.502426530702,116.502426530702
0.7165,-4.3532387346489E-102,-1.4510795782167E-102,3.079638683795E-75,1.7258843811739E-69,1.7322078266842,0,2.553336853653E-70,6.5613253641109E-50,6.8980684311748E-72,-1.7710045830811E-51,-4.8300286350975E-72,4.8300286351071E-72,3.7201730895499E-51,3.7201730895525E-51,-1.2991778622139E-61,-1.2991778622138E-61,4.8300286351019E-72,-4.8300286351027E-72,1.2991778622147E-61,1.299177862213E-61,3.7201730895512E-51,3.7201730895513E-51,1.2922825274693E-51,2.4055234655835E-56,6.5613253641109E-56,5.2913359842381E-16,0,360.31469625632,100000000,-2.7755575615629E-17,-0.000444977219168,0.000716243436326,29.543862886794,9.1558918377507E-08,127.305914977634,67.565738082126,,17.305914977634,127.305914977634
0.8165,-2.7310364866131E-96,-9.1034549553752E-97,2.6310071905433E-72,1.0400045924373E-66,1.7322297128193,0,1.9141900491697E-67,4.9683044449074E-47,5.6593060617696E-69,-1.4672971578988E-48,-3.962647022987E-69,3.9626470229872E-69,3.0822051243335E-48,3.0822051243329E-48,-1.0829379601174E-58,-1.0829379601171E-58,3.9626470229869E-69,-3.9626470229873E-69,1.0829379601171E-58,1.0829379601174E-58,3.0822051243334E-48,3.0822051243329E-48,1.0749228026779E-48,2.0761481686669E-53,4.9683044449074E-53,-7.2092703665572E-17,0,360.31469625632,100000000,-2.7755575615629E-17,-0.000507201515495,0.000816166845103,33.667634774322,1.0440068903151E-07,138.113985503027,77.012950712103,,28.113985503027,138.113985503027
