time,Dynamic_hardening_term,Dynamic_hardening_term_avg,Energy,Ep_eff,F_norm,First_term_KM,First_term_KM_avg,Phi,Prager_term,Prager_term_avg,Second_term_KM,Second_term_KM_avg,Static_hardening_term,Static_hardening_term_avg,backstress01,backstress02,backstress03,backstress04,backstress05,backstress06,backstress07,backstress08,backstress09,backstress10,backstress11,backstress12,backstress_avg,entropy_generation_rate,gamma_dot_average,phi_1,phi_2,strain_zz,ssd,strain_xx,stress_zz,strain_zz,stress_xx,stress_yy,stress_zz,vonmises
9.427,-100.72705191126,-33.575684450566,3.6457074317849E-19,0.000560326471177,1.733991385244,6.0512760311723E-16,19.238679977121,0,2.4205104124689E-15,76.954612805855,4.7107963452295E-19,0.014976932715526,7.5411956399973E-16,-34.938986805403,-5.2803476534876E-16,5.2803466489018E-16,73.392842879929,73.392839638656,-5.2082785268118E-05,-5.2082814791182E-05,5.2803447603176E-16,-5.2803456780825E-16,5.2082795227914E-05,5.208280363781E-05,73.392842138991,73.392845371851,26.605009566158,0.000292521092951,7.695459776351E-05,-7.3921109187497E-14,0,0.009382843007164,100000024.74389,-8.951173140881E-16,981.29787557456,0.009382843007164,368.93374269761,-0.001788142874037,981.29787557456,858.5022676623
10.427,-194.22157375571,-64.740525249133,7.1758576336339E-18,0.001115192057507,1.7341105024754,1.1261680053147E-14,28.86553465014,0,4.5046720212589E-14,115.46042495996,8.7669869261093E-18,0.02247125704147,1.7267628109925E-14,-44.90174494829,-1.2090801684447E-14,1.2090799252036E-14,94.320601083643,94.320595260592,-0.001296480867491,-0.001296482351183,1.2090790408898E-14,-1.2090792595393E-14,0.001296481371696,0.001296481790544,94.320600322234,94.320606140705,34.241485590179,0.000442372701685,0.000115460396613,-1.2498572702176E-13,0,0.010373013651807,100000049.24667,-1.1310397172736E-15,1038.9108428149,0.010373013651807,390.19617058435,-0.002926368565526,1038.9108428149,908.96311284593
11.427,-257.3042466031,-85.768074492448,4.433797706298E-17,0.001878110118429,1.7341956548611,6.7220731348485E-14,33.790517946911,0,2.6888292539394E-13,135.15164984243,5.2329911055863E-17,0.026305273801489,1.3305293154165E-13,-50.818816652828,-9.3163756664468E-14,9.316376074905E-14,106.74997867772,106.74997135064,-0.010543696564356,-0.010543716931564,9.316364352507E-14,-9.3163639173159E-14,0.010543703553705,0.010543709228171,106.74997986856,106.74998747448,38.827010433914,0.00052218354549,0.00013515217626,2.7298489434941E-12,0,0.011362204828318,100000082.93748,-1.3947177956056E-15,1076.1288245101,0.011362204828318,403.9125060245,-0.000900246625785,1076.1288245101,941.56146987565
12.427,-93.990375083608,-31.330116609486,7.5435525809687E-18,0.002607687737953,1.7341028534651,1.2043353631929E-14,14.275242640408,0,4.8173414527714E-14,57.099152705588,9.3754848888234E-18,0.011113009847597,2.3592560748293E-13,-43.939253800346,-1.6520121682404E-13,1.6519541210215E-13,92.298752543584,92.298742018403,-0.018912416427553,-0.018912873571593,1.6520102394489E-13,-1.6519503436849E-13,0.018912433920384,0.018912854474902,92.298755620514,92.29876611842,33.740406064595,0.000215239972377,5.7099179354911E-05,-8.2075194601128E-12,0,0.011506544916132,100000115.15656,-1.5022705127508E-15,1020.9248248318,0.011506544916132,383.57367108564,0.004077128524857,1020.9248248318,893.2024685594
13.427,-13.064486444676,-4.3548284569966,8.5146328775839E-21,0.002783296106292,1.7338560639398,1.5518566667676E-17,3.7388876298921,0,6.2074266670704E-17,14.955521182976,1.2080850627412E-20,0.002910654591875,6.4258564422328E-14,-23.317922415934,-4.4995473694514E-14,4.499392759058E-14,48.981601537892,48.981592480623,-0.005132878553859,-0.005133000597036,4.4995421044084E-14,-4.499382370044E-14,0.005132883329747,0.005132995383002,48.981603786251,48.981612878795,17.937956992523,5.4773821958345E-05,1.4955521182967E-05,-6.0982624484876E-12,0,0.010517496579886,100000122.91127,-1.7798264461112E-15,892.24370293298,0.010517496579886,335.99193242032,-0.000880036176159,892.24370293298,780.51508571542
14.427,-0.43758247569113,-0.14586079700117,9.158881784158E-24,0.002816291101073,1.7336325449158,1.9104075312246E-20,0.33120473215053,0,7.6416301248984E-20,1.3248164559434,1.4872077732324E-23,0.000257836740738,1.6913831082858E-14,-8.8166423961872,-1.1843492567685E-14,1.1843085660734E-14,18.520228510586,18.520223185642,-0.001350993501487,-0.001351025621317,1.1843478710274E-14,-1.1843058312327E-14,0.001350994758562,0.001351024248916,18.520230084796,18.520235432086,6.8109414128938,4.6033097716696E-06,1.324816455943E-06,-6.1999697478484E-12,0,0.009527469058501,100000124.3683,-2.0504433632418E-15,778.03620447374,0.009527469058501,293.58358882151,-0.00021976452442,778.03620447374,680.52423429208
15.427,-0.000609263131216,-0.000203087633836,4.5164546938664E-27,0.002817680474568,1.7334136845363,1.0960916369799E-23,0.001674913965942,0,4.3843665479196E-23,0.006699643358798,8.5328125103661E-27,1.303889457744E-06,4.4512051427354E-15,-2.4274603963139,-3.1168464871088E-15,3.1167394016479E-15,5.0991203773189,5.0991187564525,-0.000355540246554,-0.000355548699511,3.1168428402628E-15,-3.1167322043757E-15,0.000355540577378,0.000355548338337,5.0991208812,5.09912250904,1.878544956058,2.0807625360969E-08,6.6996433587978E-09,-6.2040940687874E-12,0,0.008536460411213,100000124.42965,-2.2308546087016E-15,667.37606399592,0.008536460411213,252.32867140152,7.7266348374641E-05,667.37606399592,583.66290150262
16.427,-4.7551041135752E-08,-1.5850338004311E-08,5.9569106089083E-31,0.002817684037543,1.7331943198917,1.7277232746006E-27,4.96516062762E-07,0,6.9108930984023E-27,1.9860605441844E-06,1.3449902540609E-30,3.8652854594539E-10,1.1714207684568E-15,-0.6390964457861,-8.2025846709008E-16,8.2023028547887E-16,1.3424852221247,1.3424847948551,-9.3567295877674E-05,-9.3569520436797E-05,8.2025750735199E-16,-8.202283913774E-16,9.3567382940369E-05,9.3569425386857E-05,1.3424853551372,1.3424857842464,0.49459796501878,5.2183108624864E-12,1.9860605441844E-12,-6.1985609522117E-12,0,0.007544468691485,100000124.42981,-2.5222881519177E-15,557.31704505844,0.007544468691485,211.13620917379,6.7009537354766E-05,557.31704505844,487.35092884049
17.427,-3.4695321019547E-13,-1.1565097443594E-13,1.1743362190348E-35,0.002817684038248,1.7329742228388,4.2312774828462E-32,1.3766027459038E-11,0,1.6925109931385E-31,5.5064007063338E-11,3.2939415847574E-35,1.0716597057479E-14,3.0828204296738E-16,-0.16819064736142,-2.1586688814553E-16,2.1585947160921E-16,0.35330107070855,0.35330095826417,-2.4624044497771E-05,-2.4624629933551E-05,2.1586663557188E-16,-2.1585897313975E-16,2.4624067410004E-05,2.462460491932E-05,0.35330110571349,0.35330121864201,0.13016307056227,1.1669239858436E-16,5.5064007063338E-17,-6.1951815834321E-12,0,0.006551491946981,100000124.42981,-2.7443327560721E-15,447.72337634361,0.006551491946981,169.95610960485,5.3601964818481E-05,447.72337634361,391.46895737109
18.427,-1.2246134999647E-19,-4.0820399663814E-20,1.2291603871755E-41,0.002817684038248,1.7327534022485,5.8445324587395E-38,1.8462957872984E-17,0,2.3378129834958E-37,7.3851693653762E-17,4.5498098055762E-41,1.4373070270471E-20,8.1130385063333E-17,-0.044262623451652,-5.6809548779082E-17,5.6807596974034E-17,0.09297801336262,0.092977983770705,-6.4802938007396E-06,-6.4804478694936E-06,5.6809482309439E-17,-5.6807465792152E-17,6.480299830537E-06,6.4804412865147E-06,0.092978022574849,0.092978052294172,0.034254930758775,1.1850890823059E-22,7.3851693653762E-23,-6.1887982947354E-12,0,0.005557528219543,100000124.42981,-2.9802551480359E-15,338.59263670116,0.005557528219543,128.78777292735,4.0364079103748E-05,338.59263670116,296.01461722036
19.427,-2.6721012414405E-28,-8.9069863216808E-29,7.4958117809442E-50,0.002817684038248,1.7325318674703,5.2381524721644E-46,1.5308036982854E-25,0,2.0952609888658E-45,6.1232033647019E-25,4.0777430890231E-49,1.1917022872021E-28,2.1351030754721E-17,-0.011648565871629,-1.4950532062644E-17,1.4950018407377E-17,0.024468963400931,0.024468955613246,-1.7054147115314E-06,-1.7054552577054E-06,1.4950514569871E-17,-1.4949983884326E-17,1.7054162983893E-06,1.7054535252671E-06,0.024468965825308,0.024468973646523,0.009014847884187,6.6750217290399E-31,6.1232033647019E-31,-6.1839241630282E-12,0,0.004562575545167,100000124.42981,-3.1953608582815E-15,229.92276816086,0.004562575545167,87.630729983936,2.7293843280545E-05,229.92276816086,200.9858588935
20.427,-7.6398815238913E-42,-2.5466169543028E-42,4.7542284495002E-63,0.002817684038248,1.7323096277278,6.2630767821051E-59,1.6630949108917E-38,0,2.505230712842E-58,6.6523672275053E-38,4.8755642510866E-62,1.2946885426026E-41,5.6189368993279E-18,-0.003065545516386,-3.9345218147278E-18,3.9343866364047E-18,0.006439481209187,0.006439479159707,-4.4881288221468E-07,-4.4882355272495E-07,3.9345172111662E-18,-3.9343775509959E-18,4.4881329982704E-07,4.4882309680029E-07,0.006439481847208,0.006439483905513,0.002372431663848,3.8393493280467E-44,6.6523672275053E-44,-6.179657691014E-12,0,0.003566631953983,100000124.42981,-3.410466568532E-15,121.71173467214,0.003566631953983,46.484516104741,1.4388019952181E-05,121.71173467214,106.38065183053
