time,Dynamic_hardening_term,Dynamic_hardening_term_avg,Energy,Ep_eff,F_norm,First_term_KM,First_term_KM_avg,Phi,Prager_term,Prager_term_avg,Second_term_KM,Second_term_KM_avg,Static_hardening_term,Static_hardening_term_avg,backstress01,backstress02,backstress03,backstress04,backstress05,backstress06,backstress07,backstress08,backstress09,backstress10,backstress11,backstress12,backstress_avg,entropy_generation_rate,gamma_dot_average,phi_1,phi_2,strain_zz,ssd,strain_xx,stress_zz,strain_zz,stress_xx,stress_yy,stress_zz,vonmises
9.763,-147.99439356043,-49.209256680808,3.0153374359039E-18,0.000750508606319,1.7340305258791,4.9148944892206E-15,21.962273492239,0,1.9659577956883E-14,96.709966761649,1.0516226787217E-09,3989982.8263953,5.9473753690106E-15,-39.281399549253,-3.9036480862669E-15,4.0809888345926E-15,85.513056138741,86.288501967488,-0.000383932664429,-0.000330966778303,4.4889570390724E-15,-4.3192807915026E-15,0.000365864407281,0.000349780116355,85.660922066448,84.874852587668,31.080585203237,0.000362619902969,9.6709928127663E-05,-1.7749033846803E-08,0,0.009715649819771,93972293.04243,-7.253920263127E-13,1000.2860441034,0.009715649819771,375.94694115053,-0.000119538990086,1000.2860441034,875.13093600894
10.263,-206.9242889693,-68.840765719108,1.574869221165E-17,0.001059324140854,1.7340848102193,2.5049535303709E-14,26.075300447432,0,1.0019814121483E-13,119.5362137393,5.6233803640298E-09,4550296.2539173,3.461624786586E-14,-43.843127123191,-2.2137447814274E-14,2.3137315702797E-14,96.796386261987,97.790966921379,-0.002211623904707,-0.001800730601899,2.6440038918595E-14,-2.5491750326852E-14,0.002069418497917,0.001943556217084,96.931810648998,95.918953450855,35.187392768982,0.000447137916289,0.000119536146271,1.0586140817778E-08,0,0.010210692959758,91816993.31593,-2.3860993011925E-12,1026.0196827382,0.010210692959758,385.44345281114,-0.00029147012606,1026.0196827382,897.67004244435
10.763,-269.66338782656,-89.840907952923,6.0945360480799E-17,0.00143336037313,1.7341283467842,9.5245275405776E-14,29.600760495295,0,3.809811016231E-13,142.50267928497,2.2948157176812E-08,4918625.6135477,1.5521068132766E-13,-47.239025948018,-9.6308104214582E-14,9.9380529386236E-14,105.99795640635,107.18635264447,-0.009587545459398,-0.007315981653716,1.1874411393505E-13,-1.1612301933648E-13,0.008787180225637,0.008086864576452,106.07170969948,104.85411773864,38.528275723601,0.000530947868728,0.000142502576613,1.4039964034655E-07,0,0.01070549115056,89431093.440582,-6.8778992564048E-12,1045.3602143432,0.01070549115056,392.57631552873,-0.000437272354096,1045.3602143432,914.61073510139
11.263,-329.39626724809,-110.02769979966,1.7640226891732E-16,0.001869974590762,1.7341616824584,2.7257195811762E-13,32.092175799822,0,1.0902878324705E-12,163.61194781121,7.2335323739156E-08,5035080.2972286,5.4220904130744E-13,-49.528919331896,-3.254159538653E-13,3.259696537655E-13,113.12451116353,114.45770759437,-0.031588828263124,-0.022478350344325,4.0940251524592E-13,-4.1267494109405E-13,0.028310180802522,0.025494437654413,113.0754522369,111.69897627234,41.102907690223,0.000606443033919,0.000163611810751,5.2216071779021E-07,0,0.011200044631423,86928788.62686,-1.7401894799377E-11,1058.5495652096,0.011200044631423,397.44141114726,-0.000504430110181,1058.5495652096,926.16422635627
11.763,-379.60524966691,-127.29227894482,3.9181060509415E-16,0.00236095849875,1.7341862823907,6.0176747441723E-13,33.286132118158,0,2.4070698976689E-12,181.03740573347,1.8035617370969E-07,4894739.4787324,1.5061433793627E-12,-50.876767608996,-8.7288806103458E-13,8.327733171127E-13,118.36254545613,119.77894942207,-0.080765312948502,-0.053533167159674,1.1034346861328E-12,-1.1666944205812E-12,0.070731000048756,0.062338914699776,118.12899745581,116.65323416108,42.978479184111,0.000667010657384,0.000181037243874,1.3959529498477E-06,0,0.011694353639907,84440004.82878,-3.8649586429406E-11,1066.3818276814,0.011694353639907,400.33744978156,-0.000473836932077,1066.3818276814,933.02557931232
12.263,-152.33329636755,-51.327775366586,1.0326918391454E-16,0.002767677627855,1.7341114693641,1.6531622420673E-13,13.818889122624,0,6.612648968269E-13,79.674393133824,5.6573748482365E-08,1917220.2095655,2.371483246292E-12,-45.947155160062,-1.3411563924316E-12,1.2177721283015E-12,108.54152920477,109.92364123772,-0.11721697065203,-0.073869415922837,1.6805710199263E-12,-1.8634688251894E-12,0.10095257213049,0.087672031003853,108.11769630099,106.67032149658,39.473863305946,0.000286509700683,7.9674393133711E-05,2.482840407775E-06,0,0.01166865556689,82612281.903462,-6.5427687091588E-11,1023.5902192771,0.01166865556689,384.57742348498,-6.1474791997029E-05,1023.5902192771,895.54480084411
12.763,-59.92849492289,-20.231366581906,2.9685615872692E-18,0.002924988496392,1.7339762826362,5.1051393966782E-15,6.8622787193407,0,2.0420557586713E-14,40.472704638809,1.9068759136432E-09,930876.82139776,1.3805571817435E-12,-35.464536517423,-7.8207279653029E-13,7.0530586055574E-13,84.305138115552,85.655521488732,-0.067584580337375,-0.04241597403195,9.7681962033338E-13,-1.0904247086094E-12,0.058125459996399,0.050419642662354,83.795093563106,82.380806422346,30.633309216341,0.0001432632166,4.047270463877E-05,2.5705778605577E-06,0,0.011174333820388,81959674.62969,-7.800738325187E-11,952.38226937083,0.011174333820388,358.27784275132,-0.000411155600021,952.38226937083,833.18284689117
13.263,-22.448037722162,-7.6080436826439,9.5491230352076E-20,0.00300560166364,1.7338537174159,1.7587266564606E-16,3.422712287336,0,7.0349066258425E-16,20.420866379124,7.0431047082034E-11,458977.53487169,7.4975736046057E-13,-26.357199046738,-4.2570584616828E-13,3.8365769376367E-13,62.898739466232,64.169127540709,-0.036745096901843,-0.023054464160529,5.314901778569E-13,-5.9371256012022E-13,0.031599088997584,0.02740766937426,62.358523307085,61.031264693638,22.836040307415,7.1210397748017E-05,2.0420866379109E-05,2.5602885933924E-06,0,0.010679767604109,81636070.15013,-8.5219495621494E-11,888.84863762954,0.010679767604109,334.75674567709,-0.000346728257243,888.84863762954,777.54944285576
13.763,-6.7537376730472,-2.3062907686435,3.0027533142509E-21,0.003043917244257,1.7337381022516,5.9226647427326E-18,1.4778240010994,0,2.369065897093E-17,8.8671330591853,2.5262644534102E-12,197055.84447535,4.0627572725061E-13,-18.367641099814,-2.3095633186575E-13,2.081312634656E-13,43.960067778264,45.086538464212,-0.019932979172927,-0.012506027728546,2.8833462953426E-13,-3.2211091893421E-13,0.017141329242602,0.014867555490824,43.436364714613,42.267019282073,15.944956611604,3.0376516964573E-05,8.8671330591802E-06,2.5611479614145E-06,0,0.010184956673859,81484790.282378,-8.9447746562295E-11,829.58214851485,0.010184956673859,312.76805167064,-0.000237809229299,829.58214851485,725.65926707037
14.263,-1.2864507834955,-0.44573260865306,8.4568307885799E-23,0.003058304931323,1.7336263818684,1.7898494283006E-19,0.4469434641722,0,7.1593977132024E-19,2.6881623076011,8.1142258039163E-14,59453.563371963,2.2034725075394E-13,-11.690409013589,-1.2531984467001E-13,1.1293408774861E-13,28.046675894576,28.939776814683,-0.010815755426813,-0.0067858390632,1.5645341829303E-13,-1.7478174625691E-13,0.009300987313434,0.008067220053175,27.601521032367,26.686921689814,10.162851384599,8.9795021671091E-06,2.6881623076003E-06,2.5923657769744E-06,0,0.009689900786532,81428421.229745,-9.1543218544594E-11,772.76955103898,0.009689900786532,291.64663115516,-0.0001201944627,772.76955103898,675.92369241364
