time,Ep_eff,F_norm,Phi,backstress01,backstress02,backstress03,backstress04,backstress05,backstress06,backstress07,backstress08,backstress09,backstress10,backstress11,backstress12,backstress_avg,gamma_dot_average,phi_1,phi_2,slip_resistance_avg,ssd,strain_xx,strain_yy,strain_zz,stress_xx,stress_yy,stress_zz,vonmises
0.9165,9.6303964189488e-65,1.7322541640997,0,-1.9912673127229e-67,1.9912673127261e-67,1.9937185115034e-46,1.9937185115044e-46,-8.1835590035939e-57,-8.1835590035926e-57,1.9912673127253e-67,-1.9912673127238e-67,8.1835590035947e-57,8.1835590035917e-57,1.9937185115043e-46,1.9937185115035e-46,6.9765175797122e-47,2.9843463635308e-51,-6.5857497689727e-16,0,355.31469625632,100000000,-5.7567119795378e-17,-0.00056499456434588,0.0009160802701896,35.804267133435,1.0847655891182e-07,94.180644162116,82.339967957692
1.0165,2.1691336352367e-62,1.7322763176243,0,-4.0240833659488e-65,4.0240833659559e-65,4.0687770276193e-44,4.068777027621e-44,-1.6801829360345e-54,-1.6801829360338e-54,4.0240833659535e-65,-4.0240833659513e-65,1.6801829360344e-54,1.6801829360338e-54,4.068777027621e-44,4.0687770276192e-44,1.4278614038989e-44,5.6460437298306e-49,-4.085248465089e-16,0,355.31469625632,100000000,-7.8126805436585e-17,-0.00062678903545056,0.0010159837135812,39.711368727977,1.2039450289909e-07,104.47887773495,91.344564390151
1.1165,1.684928056015e-60,1.7322984642573,0,-4.9248024624442e-63,4.9248024624432e-63,5.0286121332862e-42,5.028612133287e-42,-2.0890755942021e-52,-2.0890755942029e-52,4.9248024624422e-63,-4.9248024624452e-63,2.0890755942032e-52,2.0890755942018e-52,5.0286121332854e-42,5.0286121332878e-42,1.7690826494236e-42,6.5046363623805e-47,1.0539407025605e-17,0,355.31469625632,100000000,-8.2238742564826e-17,-0.00068861262178732,0.0011158771772718,43.618564644557,1.3232366658694e-07,114.78146918998,100.35318578023
1.2165,1.9351071343755e-58,1.7323206039896,0,-3.9803135111875e-61,3.9803135111875e-61,4.1042975954281e-40,4.1042975954284e-40,-1.7153679112558e-50,-1.715367911256e-50,3.9803135111863e-61,-3.9803135111888e-61,1.7153679112563e-50,1.7153679112554e-50,4.1042975954276e-40,4.1042975954288e-40,1.4470334649106e-40,4.9729674513131e-45,3.627187399481e-16,0,355.31469625632,100000000,-9.251858538543e-17,-0.00075046534917352,0.0012157606632549,47.525855314953,1.4426234036355e-07,125.08842042795,109.36583402891
1.3165,6.3856611195082e-57,1.7323427368125,0,-2.2693171667015e-59,2.2693171667026e-59,2.3630825336455e-38,2.3630825336463e-38,-9.9359378949807e-49,-9.9359378949832e-49,2.2693171667028e-59,-2.2693171667013e-59,9.9359378949826e-49,9.9359378949814e-49,2.363082533646e-38,2.3630825336457e-38,8.3472738396739e-39,2.6935036300697e-43,1.6605072634472e-16,0,355.31469625632,100000000,-9.251858538543e-17,-0.00081234724346372,0.0013156341735242,51.433241171358,1.5622317020881e-07,135.39973335157,118.38251103888
1.4165,3.2807302166824e-55,1.7323648627168,0,-9.6080382369025e-58,9.6080382369007e-58,1.0103700684874e-36,1.0103700684872e-36,-4.2738682550497e-47,-4.2738682550492e-47,9.6080382369006e-58,-9.6080382369025e-58,4.2738682550492e-47,4.2738682550497e-47,1.0103700684873e-36,1.0103700684873e-36,3.5750133808757e-37,1.0875058647448e-41,-2.6839523709363e-16,0,355.31469625632,100000000,-1.1102230246252e-16,-0.00087425833055064,0.001415497710071,55.340722646348,1.6818890634217e-07,145.71540986558,127.40321871455
1.5165,7.9742582102018e-54,1.7323869816937,0,-3.1467043432895e-56,3.1467043432905e-56,3.341671087899e-35,3.3416710878993e-35,-1.4220478084169e-45,-1.4220478084168e-45,3.1467043432894e-56,-3.1467043432906e-56,1.4220478084171e-45,1.4220478084166e-45,3.341671087899e-35,3.3416710878993e-35,1.1841667280355e-35,3.4080022079817e-40,-3.9963911160802e-16,0,355.31469625632,100000000,-1.295260195396e-16,-0.00093619863636219,0.0015153512748881,59.248300172926,1.8018467627385e-07,156.03545187671,136.42795896204
1.6165,2.2550562620848e-52,1.7324090937341,0,-8.2388518053279e-55,8.2388518053316e-55,8.8356079757241e-34,8.8356079757267e-34,-3.782648104643e-44,-3.7826481046437e-44,8.238851805331e-55,-8.2388518053285e-55,3.7826481046439e-44,3.7826481046428e-44,8.8356079757253e-34,8.8356079757254e-34,3.1352356954067e-34,8.5640305931347e-39,4.0958047070921e-16,0,355.31469625632,100000000,-1.3363795666784e-16,-0.00099816818686239,0.0016151948699663,63.155974184455,1.9218335948027e-07,166.35986129363,145.45673368918
1.7165,4.271176639844e-51,1.7324311988291,0,-1.771683744639e-53,1.7716837446398e-53,1.9187479139379e-32,1.9187479139377e-32,-8.2639105387933e-43,-8.2639105387896e-43,1.7716837446395e-53,-1.7716837446393e-53,8.2639105387907e-43,8.2639105387923e-43,1.9187479139381e-32,1.9187479139375e-32,6.81677158923e-33,1.7723739572797e-37,3.4136859134198e-17,0,355.31469625632,100000000,-1.5419764230905e-16,-0.0010601670080554,0.0017150284972959,67.063745114737,2.0419879278868e-07,176.68864002709,154.48954480552
1.8165,6.0736746988505e-50,1.7324532969696,0,-3.1998840633491e-52,3.1998840633487e-52,3.4996767538635e-31,3.4996767538633e-31,-1.5163623265873e-41,-1.5163623265873e-41,3.1998840633488e-52,-3.199884063349e-52,1.5163623265873e-41,1.5163623265873e-41,3.4996767538634e-31,3.4996767538634e-31,1.2447046109451e-31,3.0884345602025e-36,-6.7135569907882e-16,0,355.31469625632,100000000,-1.7064539082201e-16,-0.0011221951259799,0.0018148521588675,70.971613397964,2.1623844643475e-07,187.0217899898,163.52639422234
