x, y
0.000016181229773462938, 231.90184049079767
0.002184466019417474, 456.44171779141107
0.002184466019417474, 456.44171779141107
0.004255663430420713, 669.9386503067485
0.00529126213592233, 769.3251533742332
0.00716828478964401, 960.7361963190183
0.008009708737864076, 1030.6748466257668
0.008592233009708738, 1074.846625766871
0.009207119741100323, 1104.2944785276072
0.00988673139158576, 1130.0613496932515
0.010566343042071196, 1133.7423312883434
0.011472491909385114, 1133.7423312883434
0.011957928802588995, 1133.7423312883434
0.01199029126213592, 1052.7607361963192
0.01199029126213592, 979.1411042944787
0.012022653721682847, 901.840490797546
0.012022653721682847, 846.6257668711658
0.011310679611650484, 765.6441717791411
0.011310679611650484, 765.6441717791411
0.010404530744336567, 673.6196319018404
0.008430420711974109, 463.8036809815951
0.006747572815533981, 298.15950920245405
0.005226537216828479, 132.51533742331299
0.003802588996763754, -22.085889570552126
0.003802588996763754, -22.085889570552126
0.0017313915857605187, -235.58282208588957
0.0002427184466019406, -386.50306748466255
0.0002427184466019406, -386.50306748466255
0.0002427184466019406, -386.50306748466255
-0.0010841423948220064, -522.6993865030674
-0.0010841423948220064, -522.6993865030674
-0.0010841423948220064, -522.6993865030674
-0.00296116504854369, -714.1104294478528
-0.00296116504854369, -714.1104294478528
-0.00296116504854369, -714.1104294478528
-0.004288025889967637, -835.5828220858896
-0.005388349514563106, -946.0122699386503
-0.005388349514563106, -946.0122699386503
-0.006650485436893203, -1030.6748466257668
-0.006650485436893203, -1030.6748466257668
-0.008430420711974109, -1063.803680981595
-0.008430420711974109, -1063.803680981595
-0.0073624595469255665, -1049.079754601227
-0.009789644012944984, -1067.4846625766872
-0.011019417475728155, -1063.803680981595
-0.012022653721682847, -1063.803680981595
-0.012022653721682847, -1063.803680981595
-0.01134304207119741, -942.3312883435583
-0.00982200647249191, -787.7300613496932
-0.00982200647249191, -787.7300613496932
-0.008042071197411002, -603.680981595092
-0.008042071197411002, -603.680981595092
-0.007103559870550162, -500.6134969325153
-0.005970873786407767, -382.82208588957053
-0.0048705501618122975, -265.03067484662574
-0.0048705501618122975, -265.03067484662574
-0.0029935275080906158, -69.93865030674851
-0.0019255663430420723, 33.1288343558283
-0.0010841423948220064, 132.51533742331299
-0.0010841423948220064, 132.51533742331299
