time,Ep_eff,F_norm,Phi,backstress01,backstress02,backstress03,backstress04,backstress05,backstress06,backstress07,backstress08,backstress09,backstress10,backstress11,backstress12,backstress_avg,gamma_dot_average,phi_1,phi_2,slip_resistance_avg,ssd,strain_xx,strain_yy,strain_zz,stress_xx,stress_yy,stress_zz,vonmises
1.0165,3.9040546472086E-63,1.7322734639768,0,-6.1049443779855E-64,6.1049443779831E-64,4.8425712553011E-43,4.8425712553012E-43,-1.7222026760343E-53,-1.7222026760347E-53,6.1049443779857E-64,-6.104944377983E-64,1.7222026760343E-53,1.7222026760347E-53,4.8425712553012E-43,4.8425712553011E-43,1.6993977319779E-43,6.5967898514828E-48,1.6976776549034E-18,0,355.31469625632,100000000,-5.0144233467042E-38,-0.000631738562502,0.001015983713581,41.915487070997,1.3013826136028E-07,,95.920066715745
1.1165,1.2603887136644E-59,1.732295328981,0,-7.4817304672639E-62,7.4817304672568E-62,5.9931683780319E-41,5.9931683780289E-41,-2.1443576528042E-51,-2.1443576528037E-51,7.4817304672598E-62,-7.481730467261E-62,2.1443576528032E-51,2.1443576528047E-51,5.9931683780306E-41,5.9931683780302E-41,2.1084007581126E-41,7.6001481732122E-46,-2.3931519655213E-16,0,355.31469625632,100000000,-2.8460982979288E-35,-0.000694051365829,0.001115877177272,46.039568400938,1.4302072476576E-07,,105.37997411611
1.2165,1.3322974356903E-57,1.7323171869233,0,-6.055192150789E-60,6.0551921507892E-60,4.898263036698E-39,4.898263036696E-39,-1.7632516710632E-49,-1.763251671062E-49,6.0551921507878E-60,-6.0551921507905E-60,1.7632516710622E-49,1.7632516710629E-49,4.8982630366976E-39,4.8982630366964E-39,1.7269446066943E-39,5.8106576352352E-44,-1.6746783322127E-16,0,355.31469625632,100000000,-2.5934121015655E-34,-0.000756393724201,0.001215760663255,50.163753799871,1.559341266457E-07,,114.84411713631
1.3165,5.271885988007E-56,1.7323390377946,0,-3.4570187187987E-58,3.4570187188018E-58,2.8240693369642E-37,2.8240693369645E-37,-1.022770059549E-47,-1.0227700595486E-47,3.4570187187991E-58,-3.4570187188014E-58,1.0227700595491E-47,1.0227700595485E-47,2.8240693369643E-37,2.8240693369644E-37,9.975567010481E-38,3.1472980954136E-42,3.0454391008699E-16,0,355.31469625632,100000000,-1.7676226761277E-34,-0.000818765664037,0.001315634173524,54.288043729258,1.6885836517813E-07,,124.31249779427
1.4165,2.8995526656171E-54,1.7323608815856,0,-1.4656670310968E-56,1.4656670310975E-56,1.209116455912E-35,1.2091164559127E-35,-4.4055511602165E-46,-4.4055511602193E-46,1.4656670310976E-56,-1.4656670310967E-56,4.405551160219E-46,4.4055511602168E-46,1.2091164559123E-35,1.2091164559124E-35,4.278206100134E-36,1.2707571836098E-40,6.6232217706192E-16,0,355.31469625632,100000000,-1.3877787807814E-17,-0.000881167211792,0.001415497710071,58.412438651007,1.8178281644768E-07,,133.78511810972
1.5165,9.5972587649972E-53,1.7323827182873,0,-4.8067171062803E-55,4.8067171062799E-55,4.0044265544807E-34,4.0044265544812E-34,-1.4679151452357E-44,-1.4679151452362E-44,4.8067171062792E-55,-4.8067171062809E-55,1.4679151452363E-44,1.4679151452356E-44,4.0044265544803E-34,4.0044265544816E-34,1.4190110498611E-34,3.9823689599856E-39,1.5406234551489E-16,0,355.31469625632,100000000,-1.3877787807814E-17,-0.000943598393962,0.001515351274888,62.536939027498,1.9476909345859E-07,,143.26198010423
1.6165,1.3272962524412E-51,1.7324045478904,0,-1.260228069799E-53,1.260228069799E-53,1.0602289647948E-32,1.0602289647948E-32,-3.9100997270651E-43,-3.9100997270656E-43,1.260228069799E-53,-1.260228069799E-53,3.9100997270655E-43,3.9100997270651E-43,1.0602289647948E-32,1.0602289647948E-32,3.7620940126476E-33,1.0007613098484E-37,6.4260268694578E-16,0,355.31469625632,100000000,-1.3877787807814E-17,-0.001006059237079,0.001615194869966,66.661545321444,2.0773142080266E-07,,152.74308580121
1.7165,4.0153570337883E-50,1.7324263703858,0,-2.7136646887494E-52,2.7136646887497E-52,2.3055006658657E-31,2.3055006658663E-31,-8.5542124456786E-42,-8.5542124456814E-42,2.713664688749E-52,-2.7136646887501E-52,8.5542124456828E-42,8.5542124456772E-42,2.3055006658656E-31,2.3055006658664E-31,8.1907229728445E-32,2.0711823473386E-36,2.7677206453509E-16,0,355.31469625632,100000000,-1.3877787807814E-17,-0.001068549767713,0.001715028497295,70.786257996097,2.2072572761171E-07,,162.2284372259
1.8165,5.5768921634789E-49,1.7324481857642,0,-4.9078282675473E-51,4.9078282675457E-51,4.2107242087125E-30,4.2107242087114E-30,-1.5717998932417E-40,-1.5717998932414E-40,4.9078282675452E-51,-4.9078282675478E-51,1.5717998932415E-40,1.5717998932416E-40,4.2107242087118E-30,4.2107242087121E-30,1.4975842904322E-30,3.6092093000708E-35,-6.7816875635822E-16,0,355.31469625632,100000000,-1.3877787807814E-17,-0.001131070012472,0.001814852158867,74.911077515094,2.3374032209779E-07,,171.71803640541
1.9165,1.0577243751735E-47,1.7324699940165,0,-7.5962536149295E-50,7.5962536149245E-50,6.5815031663858E-29,6.5815031663851E-29,-2.4716689611644E-39,-2.4716689611649E-39,7.5962536149259E-50,-7.5962536149281E-50,2.4716689611646E-39,2.4716689611647E-39,6.5815031663847E-29,6.5815031663862E-29,2.3431180030331E-29,5.3946676678696E-34,1.8899346502454E-16,0,355.31469625632,100000000,-2.0816681711722E-17,-0.001193619998004,0.00191466585667,79.036004342502,2.4675808710522E-07,,181.21188536866
2.0165,1.1107377827813E-46,1.7324917951333,0,-1.0223247642955E-48,1.0223247642956E-48,8.9448395331013E-28,8.9448395331019E-28,-3.3795711422405E-38,-3.3795711422407E-38,1.0223247642958E-48,-1.0223247642953E-48,3.3795711422404E-38,3.3795711422409E-38,8.9448395331021E-28,8.9448395331011E-28,3.1874163450871E-28,7.0257588175842E-33,-7.5596189048027E-17,0,355.31469625632,100000000,-2.0816681711722E-17,-0.001256199750993,0.002014469592693,83.161038942877,2.5981499344386E-07,,190.70998614646
2.1165,2.2019419849113E-45,1.7325135891056,0,-1.2127025162832E-47,1.212702516284E-47,1.0715090086653E-26,1.0715090086654E-26,-4.0729378014607E-37,-4.0729378014594E-37,1.2127025162838E-47,-1.2127025162834E-47,4.0729378014598E-37,4.0729378014603E-37,1.0715090086655E-26,1.0715090086652E-26,3.8214345989025E-27,8.0801496025426E-32,1.0177675512888E-16,0,355.31469625632,100000000,-2.0816681711722E-17,-0.001318809298164,0.002114263368924,87.286181781139,2.7286699275753E-07,,200.21234077146
2.2165,1.572571995831E-44,1.7325353759239,0,-1.2828413100371E-46,1.282841310037E-46,1.1446486619152E-25,1.1446486619152E-25,-4.3772983989185E-36,-4.3772983989193E-36,1.2828413100371E-46,-1.282841310037E-46,4.377298398919E-36,4.3772983989188E-36,1.1446486619151E-25,1.1446486619152E-25,4.0854344056324E-26,8.3014582839458E-31,-4.036448693518E-16,0,355.31469625632,100000000,-2.7755575615629E-17,-0.001381448666277,0.002214047187351,91.411433322699,2.8593129602992E-07,,209.71895127816
2.3165,8.4434482141088E-44,1.732557155579,0,-1.2224972837746E-45,1.2224972837746E-45,1.1015513317018E-24,1.1015513317019E-24,-4.2379884891552E-35,-4.2379884891561E-35,1.2224972837748E-45,-1.2224972837743E-45,4.2379884891555E-35,4.2379884891558E-35,1.1015513317018E-24,1.1015513317018E-24,3.9344186924546E-25,7.6956037530929E-30,8.5598331601409E-17,0,355.31469625632,100000000,-2.7755575615629E-17,-0.001444117882134,0.002313821049961,95.536794033415,2.9901914892629E-07,,219.22981970296
